Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,10000,1,1,2,2,5,0,37,0.000%,55.95658,108.52,0.00
/P1-base/procesapago,10000,3,3,5,6,10,1,43,0.000%,55.89715,45.46,0.00
TOTAL,20000,2,2,4,5,8,0,43,0.000%,106.83304,147.04,0.00
