Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,65000,672,180,1413,2331,4499,0,129929,0.008%,207.74008,403.07,0.00
/P1-base/procesapago,65000,975,419,2307,2496,7300,1,129934,0.028%,207.72945,140.66,0.00
TOTAL,130000,824,327,2108,2437,7149,0,129934,0.018%,404.62770,529.53,0.00
