Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,70000,1179,703,1167,3999,15861,0,131096,0.037%,215.79895,418.75,0.00
/P1-base/procesapago,70000,1678,806,3492,7603,17094,2,131103,0.059%,215.22171,145.89,0.00
TOTAL,140000,1429,758,2276,5810,16183,0,131103,0.048%,419.68817,549.43,0.00
