Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,100000,3624,728,1970,9385,129855,0,195904,2.560%,249.74900,487.45,0.00
/P1-base/procesapago,100000,3965,787,4029,12861,129949,1,222137,2.810%,249.59316,181.84,0.00
TOTAL,200000,3795,762,3088,10594,129915,0,222137,2.685%,489.28467,655.72,0.00
